geo_id,race_eth,pop,case_count,hosp_count,death_count,total_hosp_incidental,pcr_test_count,pcr_test_pos_count,pcr_test_pos_percent
98045,Black,82.0293,27,0,0,,216,18,8.333333333
98045,Hispanic,838.3478,177,,,0,692,149,21.53179191
98045,Multi/Other,497.0337,119,,0,,4444,98,2.205220522
98045,NHPI,37.0819,17,,,,160,18,11.25
98045,Unknown,,334,,0,,7499,197,2.627016936
98045,White,13548.2119,2179,64,23,22,18952,1676,8.843393837
98047,AIAN,89.8965,45,,0,0,239,41,17.15481172
98047,Asian,813.1072,253,,,,1487,235,15.80363147
98047,Black,260.3427,146,,0,0,814,135,16.58476658
98047,Hispanic,1226.0157,573,21,,,2002,548,27.37262737
98047,Multi/Other,373.3742,128,,0,,6345,121,1.907013396
98047,NHPI,154.7141,175,14,,,778,170,21.85089974
98047,Unknown,,125,0,0,0,2204,121,5.490018149
98047,White,3795.0786,932,38,,13,6198,852,13.7463698
98050,Asian,0.0031,,0,0,0,,,
98050,Black,5.0253,,0,0,0,,,
98050,Hispanic,7.4143,,0,0,0,,,
98050,Multi/Other,4.7298,,0,0,0,10,,
98050,Unknown,,7,0,0,0,39,,
98050,White,264.6975,76,,,,191,73,38.21989529
98051,AIAN,37.8237,,,,0,111,,
98051,Asian,71.7564,23,0,0,,92,19,20.65217391
98051,Black,13.232,12,0,,,66,11,16.66666667
98051,Hispanic,120.2439,42,,0,,182,38,20.87912088
98051,Multi/Other,113.9017,40,,0,0,1634,34,2.080783354
98051,NHPI,3.0475,,0,0,,34,,
98051,Unknown,,54,0,0,0,1076,52,4.832713755
98051,White,3521.2703,753,29,,13,5610,695,12.3885918
98052,AIAN,204.637,70,,0,0,437,62,14.18764302
98052,Asian,22017.082,4523,43,,35,48322,4288,8.873804892
98052,Black,1282.6408,339,10,,,3305,316,9.561270802
98052,Hispanic,5775.1572,1267,19,,13,7828,1200,15.3295861
98052,Multi/Other,2495.8701,980,18,,,39589,938,2.36934502
98052,NHPI,196.3645,52,,,0,402,43,10.69651741
98052,Unknown,,626,,0,,34272,587,1.712768441
98052,White,37899.7928,5133,201,83,74,61271,4685,7.646357983
98053,AIAN,54.7286,,0,0,0,54,,
98053,Asian,4616.7366,917,,,,8989,876,9.745244187
98053,Black,245.1487,84,,,,614,77,12.54071661
